# Medicare Psych Comorbidity Mappings - ICD10 diagnosis codes with decimals
# File created for Medicare Inpatient FY2026: (08/11/2025 KC)
#
# This file contains the comorbidity mappings used with Medicare Psych
# Combined Comorbidity Assignment. The adjustment factors and comorbidity categories
# in this file have been set by CMS effective 10/01/2025.  It provides the 
# adjustment factor and comorbidity category for each psychiatric ICD10 secondary 
# diagnosis code that is eligible for an adjustment per CMS source data found on 
# CMS website. 
#
# This file is selected on the Date and File tab of the Psych Combined Comorbidity 
# Factors Assignment screen. It should be copied to a directory accessible by the
# person running this calculation.
# 
# Note that if more than one code exists for an encounter that is mapped to the 
# same comorbidity category, the assignment will apply the adjustment only one time.
#
#
# The ICD10 diagnosis codes used below include decimals.
#
# Comorbidity Category Definitions
#  1 - Developmental Disabilities
#  2 - Coagulation Factor Deficits
#  3 - Tracheostomy
#  4 - Renal Failure, Acute
#  5 - Renal Failure, Chronic
#  6 - Oncology Treatment
#  7 - Uncontrolled Type 1 Diabetes - Mellitus with or without complications
#  8 - Severe Protein Calorie Malnutrition
#  9 - Eating and Conduct Disorders
# 10 - Infectious Diseases
# 11 - Drug/Alcohol Induced Mental Disorders
# 12 - Cardiac Conditions
# 13 - Gangrene
# 14 - Chronic Obstructive Pulmonary Disease
# 15 - Artificial Openings - Digestive and Urinary
# 16 - Severe Musculoskeletal & Connective Tissue Diseases
# 17 - Poisoning
#
#Record Format: secondary diagnosis code|adjustment factor|comorbidity category
C81.15|1.44|6
C81.16|1.44|6
C81.17|1.44|6
C81.18|1.44|6
C81.19|1.44|6
C81.1A|1.44|6
C81.20|1.44|6
C81.21|1.44|6
C81.22|1.44|6
C81.23|1.44|6
C81.24|1.44|6
C81.25|1.44|6
C81.26|1.44|6
C81.27|1.44|6
C81.28|1.44|6
C81.29|1.44|6
C81.2A|1.44|6
C81.30|1.44|6
C81.31|1.44|6
C81.32|1.44|6
C81.33|1.44|6
C81.34|1.44|6
C81.35|1.44|6
C81.36|1.44|6
C81.37|1.44|6
C81.38|1.44|6
C81.39|1.44|6
C81.3A|1.44|6
C81.40|1.44|6
C81.41|1.44|6
C81.42|1.44|6
C81.43|1.44|6
C81.44|1.44|6
C81.45|1.44|6
C81.46|1.44|6
C81.47|1.44|6
C81.48|1.44|6
C81.49|1.44|6
C81.4A|1.44|6
C81.70|1.44|6
C81.71|1.44|6
C81.72|1.44|6
C81.73|1.44|6
C81.74|1.44|6
C81.75|1.44|6
C81.76|1.44|6
C81.77|1.44|6
C81.78|1.44|6
C81.79|1.44|6
C81.7A|1.44|6
C81.90|1.44|6
C81.91|1.44|6
C81.92|1.44|6
C81.93|1.44|6
C81.94|1.44|6
C81.95|1.44|6
C81.96|1.44|6
C81.97|1.44|6
C81.98|1.44|6
C81.99|1.44|6
C81.9A|1.44|6
C82.00|1.44|6
C82.01|1.44|6
C82.02|1.44|6
C82.03|1.44|6
C82.04|1.44|6
C82.05|1.44|6
C82.06|1.44|6
C82.07|1.44|6
C82.08|1.44|6
C82.09|1.44|6
C82.0A|1.44|6
C82.10|1.44|6
C82.11|1.44|6
C82.12|1.44|6
C82.13|1.44|6
C82.14|1.44|6
C82.15|1.44|6
C82.16|1.44|6
C82.17|1.44|6
C82.18|1.44|6
C82.19|1.44|6
C82.1A|1.44|6
C82.20|1.44|6
C82.21|1.44|6
C82.22|1.44|6
C82.23|1.44|6
C82.24|1.44|6
C82.25|1.44|6
C82.26|1.44|6
C82.27|1.44|6
C82.28|1.44|6
C82.29|1.44|6
C82.2A|1.44|6
C82.30|1.44|6
C82.31|1.44|6
C82.32|1.44|6
C82.33|1.44|6
C82.34|1.44|6
C82.35|1.44|6
C82.36|1.44|6
C82.37|1.44|6
C82.38|1.44|6
C82.39|1.44|6
C82.3A|1.44|6
C82.40|1.44|6
C82.41|1.44|6
C82.42|1.44|6
C82.43|1.44|6
C82.44|1.44|6
C82.45|1.44|6
C82.46|1.44|6
C82.47|1.44|6
C82.48|1.44|6
C82.49|1.44|6
C82.4A|1.44|6
C82.50|1.44|6
C82.51|1.44|6
C82.52|1.44|6
C82.53|1.44|6
C82.54|1.44|6
C82.55|1.44|6
C82.56|1.44|6
C82.57|1.44|6
C82.58|1.44|6
C82.59|1.44|6
C82.5A|1.44|6
C82.60|1.44|6
C82.61|1.44|6
C82.62|1.44|6
C82.63|1.44|6
C82.64|1.44|6
C82.65|1.44|6
C82.66|1.44|6
C82.67|1.44|6
C82.68|1.44|6
C82.69|1.44|6
C82.6A|1.44|6
C82.80|1.44|6
C82.81|1.44|6
C82.82|1.44|6
C82.83|1.44|6
C82.84|1.44|6
C82.85|1.44|6
C82.86|1.44|6
C82.87|1.44|6
C82.88|1.44|6
C82.89|1.44|6
C82.8A|1.44|6
C82.90|1.44|6
C82.91|1.44|6
C82.92|1.44|6
C82.93|1.44|6
C82.94|1.44|6
C82.95|1.44|6
C82.96|1.44|6
C82.97|1.44|6
C82.98|1.44|6
C82.99|1.44|6
C82.9A|1.44|6
C83.00|1.44|6
C83.01|1.44|6
C83.02|1.44|6
C83.03|1.44|6
C83.04|1.44|6
C83.05|1.44|6
C83.06|1.44|6
C83.07|1.44|6
C83.08|1.44|6
C83.09|1.44|6
C83.0A|1.44|6
C83.10|1.44|6
C83.11|1.44|6
C83.12|1.44|6
C83.13|1.44|6
C83.14|1.44|6
C83.15|1.44|6
C83.16|1.44|6
C83.17|1.44|6
C83.18|1.44|6
C83.19|1.44|6
C83.1A|1.44|6
C83.30|1.44|6
C83.31|1.44|6
C83.32|1.44|6
C83.33|1.44|6
C83.34|1.44|6
C83.35|1.44|6
C83.36|1.44|6
C83.37|1.44|6
C83.38|1.44|6
C83.390|1.44|6
C83.398|1.44|6
C83.3A|1.44|6
C83.50|1.44|6
C83.51|1.44|6
C83.52|1.44|6
C83.53|1.44|6
C83.54|1.44|6
C83.55|1.44|6
C83.56|1.44|6
C83.57|1.44|6
C83.58|1.44|6
C83.59|1.44|6
C83.5A|1.44|6
C83.70|1.44|6
C83.71|1.44|6
C83.72|1.44|6
C83.73|1.44|6
C83.74|1.44|6
C83.75|1.44|6
C83.76|1.44|6
C83.77|1.44|6
C83.78|1.44|6
C83.79|1.44|6
C83.7A|1.44|6
C83.80|1.44|6
C83.81|1.44|6
C83.82|1.44|6
C83.83|1.44|6
C83.84|1.44|6
C83.85|1.44|6
C83.86|1.44|6
C83.87|1.44|6
C83.88|1.44|6
C83.89|1.44|6
C83.8A|1.44|6
C83.90|1.44|6
C83.91|1.44|6
C83.92|1.44|6
C83.93|1.44|6
C83.94|1.44|6
C83.95|1.44|6
C83.96|1.44|6
C83.97|1.44|6
C83.98|1.44|6
C83.99|1.44|6
C83.9A|1.44|6
C84.00|1.44|6
C84.01|1.44|6
C84.02|1.44|6
C84.03|1.44|6
C84.04|1.44|6
C84.05|1.44|6
C84.06|1.44|6
C84.07|1.44|6
C84.08|1.44|6
C84.09|1.44|6
C84.0A|1.44|6
C84.10|1.44|6
C84.11|1.44|6
C84.12|1.44|6
C84.13|1.44|6
C84.14|1.44|6
C84.15|1.44|6
C84.16|1.44|6
C84.17|1.44|6
C84.18|1.44|6
C84.19|1.44|6
C84.1A|1.44|6
C84.40|1.44|6
C84.41|1.44|6
C84.42|1.44|6
C84.43|1.44|6
C84.44|1.44|6
C84.45|1.44|6
C84.46|1.44|6
C84.47|1.44|6
